"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Porto Alegre do Tocantins (TO)";"3480"
"Porto Nacional (TO)";"156275"
"Praia Norte (TO)";"-"
"Presidente Kennedy (TO)";"-"
"Pugmil (TO)";"13074"
"Recursolândia (TO)";"-"
"Riachinho (TO)";"-"
"Rio da Conceição (TO)";"-"
"Rio dos Bois (TO)";"20715"
"Rio Sono (TO)";"9990"
"Sampaio (TO)";"-"
"Sandolândia (TO)";"3252"
"Santa Fé do Araguaia (TO)";"24570"
"Santa Maria do Tocantins (TO)";"25206"
"Santa Rita do Tocantins (TO)";"51450"
"Santa Rosa do Tocantins (TO)";"120432"
"Santa Tereza do Tocantins (TO)";"-"
"Santa Terezinha do Tocantins (TO)";"-"
"São Bento do Tocantins (TO)";"-"
"São Félix do Tocantins (TO)";"-"
"São Miguel do Tocantins (TO)";"-"
"São Salvador do Tocantins (TO)";"405"
"São Sebastião do Tocantins (TO)";"-"
"São Valério (TO)";"52360"
"Silvanópolis (TO)";"69460"
"Sítio Novo do Tocantins (TO)";"-"
"Sucupira (TO)";"50638"
"Taguatinga (TO)";"990"
"Taipas do Tocantins (TO)";"-"
"Talismã (TO)";"40733"
"Palmas (TO)";"47200"
"Tocantínia (TO)";"11700"
"Tocantinópolis (TO)";"-"
"Tupirama (TO)";"36573"
"Tupiratins (TO)";"1736"
"Wanderlândia (TO)";"1607"
"Xambioá (TO)";"1260"
"Açailândia (MA)";"245637"
"Afonso Cunha (MA)";"30805"
"Água Doce do Maranhão (MA)";"-"
"Alcântara (MA)";"-"
"Aldeias Altas (MA)";"1950"
"Altamira do Maranhão (MA)";"-"
"Alto Alegre do Maranhão (MA)";"-"
"Alto Alegre do Pindaré (MA)";"1600"
"Alto Parnaíba (MA)";"192060"
"Amapá do Maranhão (MA)";"-"
"Amarante do Maranhão (MA)";"2150"
"Anajatuba (MA)";"-"
"Anapurus (MA)";"23000"
"Apicum-Açu (MA)";"-"
"Araguanã (MA)";"-"
"Araioses (MA)";"-"
"Arame (MA)";"-"
"Arari (MA)";"-"
"Axixá (MA)";"-"
"Bacabal (MA)";"-"
"Bacabeira (MA)";"-"
"Bacuri (MA)";"-"
"Bacurituba (MA)";"-"
"Balsas (MA)";"599350"
"Barão de Grajaú (MA)";"-"
"Barra do Corda (MA)";"960"
"Barreirinhas (MA)";"-"
"Belágua (MA)";"-"
"Bela Vista do Maranhão (MA)";"-"
"Benedito Leite (MA)";"20279"
"Bequimão (MA)";"-"
"Bernardo do Mearim (MA)";"-"
"Boa Vista do Gurupi (MA)";"-"
"Bom Jardim (MA)";"40000"
"Bom Jesus das Selvas (MA)";"13000"
"Bom Lugar (MA)";"-"
"Brejo (MA)";"48450"
"Brejo de Areia (MA)";"-"
"Buriti (MA)";"40826"
"Buriti Bravo (MA)";"25300"
"Buriticupu (MA)";"128540"
"Buritirana (MA)";"-"
"Cachoeira Grande (MA)";"-"
"Cajapió (MA)";"-"
"Cajari (MA)";"-"
"Campestre do Maranhão (MA)";"-"
"Cândido Mendes (MA)";"-"
"Cantanhede (MA)";"-"
"Capinzal do Norte (MA)";"-"
"Carolina (MA)";"77542"
"Carutapera (MA)";"-"
"Caxias (MA)";"25150"
"Cedral (MA)";"-"
"Central do Maranhão (MA)";"-"
"Centro do Guilherme (MA)";"-"
"Centro Novo do Maranhão (MA)";"-"
"Chapadinha (MA)";"13795"
"Cidelândia (MA)";"27939"
"Codó (MA)";"1200"
"Coelho Neto (MA)";"-"
"Colinas (MA)";"27088"
"Conceição do Lago-Açu (MA)";"-"
